Winter,Spring,Summer,Fall
7.163,7.215,7.187,7.220
9.764,9.610,9.708,9.737
10.947,10.650,11.039,10.945
11.433,11.394,11.489,11.492
11.367,11.339,11.455,11.338
10.079,10.189,10.057,10.044
11.963,12.142,12.419,11.980
14.854,14.378,15.796,13.654
21.414,22.399,23.536,24.828
23.794,24.376,24.424,25.838
23.231,26.229,26.170,25.796
26.130,25.592,24.733,27.509
29.202,27.808,27.038,25.792
32.649,30.506,29.918,28.602
27.247,26.948,26.609,26.779
24.427,24.607,24.512,24.805
25.761,25.498,25.237,25.582
26.805,27.265,26.579,27.084
27.461,27.473,27.419,27.513
29.600,29.518,29.512,29.257
28.031,28.299,28.113,27.987
25.823,25.835,25.866,25.806
18.914,18.860,18.944,18.797
8.965,8.791,8.876,8.711
