Battery Charge (kWh),Battery Discharge (kWh),Generator Production (kWh),Grid Import (kWh),Load Demand (kWh),Solar Curtailment (kWh),Solar Production (kWh),State of Charge (kWh),Time Step
0.0,0.0,0.0,7.187,7.187,0.0,0.0,0.0,1
0.0,0.0,0.0,9.708,9.708,0.0,0.0,0.0,2
0.0,0.0,0.0,11.039,11.039,0.0,0.0,0.0,3
0.0,0.0,0.0,11.489,11.489,0.0,0.0,0.0,4
0.0,0.0,0.0,11.455,11.455,0.0,0.0,0.0,5
0.0,0.0,10.057,0.0,10.057,0.0,0.0,0.0,6
0.0,0.0,0.0,11.757493313521547,12.419,1.1102230246251565e-16,0.6615066864784546,0.0,7
0.0,0.0,0.0,9.144182763744428,15.796,0.0,6.651817236255572,0.0,8
0.0,0.0,0.0,10.085364041604757,23.536,1.7763568394002505e-15,13.450635958395244,0.0,9
0.0,0.0,0.0,5.240306092124811,24.424,0.0,19.18369390787519,0.0,10
0.0,0.0,0.0,3.3480193164933176,26.17,3.552713678800501e-15,22.821980683506684,0.0,11
0.0,0.0,0.0,0.0,24.733,0.0,24.733,0.0,12
0.0,0.0,0.0,1.9374962852897468,27.038,0.0,25.100503714710253,0.0,13
0.0,0.0,0.0,5.773005943536404,29.918,3.552713678800501e-15,24.144994056463595,0.0,14
0.0,0.0,0.0,5.073282317979203,26.609,3.552713678800501e-15,21.5357176820208,0.0,15
0.0,0.0,0.0,7.349576523031203,24.512,0.0,17.162423476968797,0.0,16
0.0,0.0,0.0,14.13838781575037,25.237,0.0,11.098612184249628,0.0,17
0.0,0.0,0.0,22.793711738484397,26.579,0.0,3.7852882615156016,0.0,18
0.0,0.0,0.0,27.419,27.419,0.0,0.0,0.0,19
0.0,0.0,27.473,2.0390000000000015,29.512,0.0,0.0,0.0,20
0.0,0.0,27.473,0.6400000000000006,28.113,0.0,0.0,0.0,21
0.0,0.0,0.0,25.866,25.866,0.0,0.0,0.0,22
0.0,0.0,0.0,18.944,18.944,0.0,0.0,0.0,23
0.0,0.0,0.0,8.876,8.876,0.0,0.0,0.0,24
