Winter,Spring,Summer,Fall
0.000,0.000,0.000,0.000
0.000,0.000,0.000,0.000
0.000,0.000,0.000,0.000
0.000,0.000,0.000,0.000
0.000,0.000,0.000,0.000
0.000,0.000,0.000,0.000
0.012,0.014,0.018,0.013
0.096,0.140,0.181,0.123
0.230,0.293,0.366,0.265
0.353,0.429,0.522,0.396
0.446,0.521,0.621,0.492
0.499,0.574,0.673,0.541
0.511,0.583,0.683,0.547
0.482,0.557,0.657,0.519
0.410,0.488,0.586,0.450
0.303,0.376,0.467,0.342
0.174,0.232,0.302,0.206
0.055,0.076,0.103,0.066
0.000,0.000,0.000,0.000
0.000,0.000,0.000,0.000
0.000,0.000,0.000,0.000
0.000,0.000,0.000,0.000
0.000,0.000,0.000,0.000
0.000,0.000,0.000,0.000
