Battery Charge (kWh),Battery Discharge (kWh),Generator Production (kWh),Grid Import (kWh),Load Demand (kWh),Solar Curtailment (kWh),Solar Production (kWh),State of Charge (kWh),Time Step
0.0,0.0,0.0,7.204,7.204,0.0,0.0,0.0,1
0.0,0.0,0.0,9.725,9.725,0.0,0.0,0.0,2
0.0,0.0,0.0,10.903,10.903,0.0,0.0,0.0,3
0.0,0.0,0.0,11.487,11.487,0.0,0.0,0.0,4
0.0,0.0,0.0,11.409,11.409,0.0,0.0,0.0,5
0.0,0.0,10.125,0.0,10.125,0.0,0.0,0.0,6
0.0,0.0,0.0,11.708607937905754,12.173,0.0,0.464392062094247,0.0,7
0.0,0.0,0.0,9.675241495832397,14.443,0.0,4.7677585041676025,0.0,8
0.0,0.0,0.0,13.778969341989397,23.686,0.0,9.907030658010603,0.0,9
0.0,0.0,10.497805545884624,0.0,24.863,0.0,14.365194454115375,0.0,10
0.0,0.0,0.0,8.443696348481442,25.781,0.0,17.337303651518557,0.0,11
0.0,0.0,0.0,6.974763337361004,25.891,0.0,18.916236662638994,0.0,12
0.0,0.0,0.0,7.88304704171702,27.016,0.0,19.132952958282978,0.0,13
0.0,0.0,0.0,11.527993282680384,29.856,0.0,18.328006717319617,0.0,14
0.0,0.0,0.0,10.944156239120204,27.105,0.0,16.160843760879796,0.0,15
0.0,0.0,0.0,11.928576440230199,24.591,0.0,12.662423559769802,0.0,16
0.0,0.0,0.0,17.39249706117267,25.411,0.0,8.018502938827332,0.0,17
0.0,0.0,0.0,24.22848551065965,26.891,0.0,2.6625144893403494,0.0,18
0.0,0.0,0.0,27.45,27.45,0.0,0.0,0.0,19
0.0,0.0,0.0,29.435,29.435,0.0,0.0,0.0,20
0.0,0.0,0.0,28.09,28.09,0.0,0.0,0.0,21
0.0,0.0,25.793,0.0,25.793,0.0,0.0,0.0,22
0.0,0.0,18.824,0.0,18.824,0.0,0.0,0.0,23
0.0,0.0,0.0,8.775,8.775,0.0,0.0,0.0,24
